[java] readers,writers,lockType,reads,writes
[java] 3,1,SynchronizedSpaceship,76563949,25706116
[java] 3,1,SynchronizedSpaceship,76528453,21753341
[java] 3,1,SynchronizedSpaceship,0,0
[java] 3,1,ReadWriteLockSpaceShip,34108590,37604076
[java] 3,1,ReadWriteLockSpaceShip,34581932,37173417
[java] 3,1,ReadWriteLockSpaceShip,35644437,44297476
[java] 3,1,ReadWriteLockSpaceShip,38631985,39626345
[java] 3,1,ReadWriteLockSpaceShip,33671652,27812521
[java] 3,1,ReadWriteLockSpaceShip,0,0
[java] 3,1,ReentrantLockSpaceship,98949045,46015277
[java] 3,1,ReentrantLockSpaceship,101147211,45850358
[java] 3,1,ReentrantLockSpaceship,100149089,44002078
[java] 3,1,ReentrantLockSpaceship,102088703,45436255
[java] 3,1,ReentrantLockSpaceship,106591016,50196522
[java] 3,1,ReentrantLockSpaceship,0,0
[java] 3,1,StampedLockSpaceship,249529101,17712135
[java] 3,1,StampedLockSpaceship,205957181,13959852
[java] 3,1,StampedLockSpaceship,172795862,14298860
[java] 3,1,StampedLockSpaceship,199372609,13687649
[java] 3,1,StampedLockSpaceship,225843269,15264716
[java] 3,1,StampedLockSpaceship,0,0
[java] 3,1,StampedLockWithRetriesSpaceship,264229081,38362093
[java] 3,1,StampedLockWithRetriesSpaceship,263367461,36514578
[java] 3,1,StampedLockWithRetriesSpaceship,276894303,36646971
[java] 3,1,StampedLockWithRetriesSpaceship,280265605,36046120
[java] 3,1,StampedLockWithRetriesSpaceship,242563797,36958812
[java] 3,1,StampedLockWithRetriesSpaceship,0,0
[java] 3,1,LockFreeSpaceship,365969409,108504567
[java] 3,1,LockFreeSpaceship,349027910,109494132
[java] 3,1,LockFreeSpaceship,357010160,109180631
[java] 3,1,LockFreeSpaceship,378321674,106177767
[java] 3,1,LockFreeSpaceship,364322990,107680968
[java] 3,1,LockFreeSpaceship,0,0
[java] readers,writers,lockType,reads,writes
[java] 2,2,SynchronizedSpaceship,53629033,62544947
[java] 2,2,SynchronizedSpaceship,79608639,79266177
[java] 2,2,SynchronizedSpaceship,48379701,37885312
[java] 2,2,SynchronizedSpaceship,47512835,41574304
[java] 2,2,SynchronizedSpaceship,48817806,37754504
[java] 2,2,SynchronizedSpaceship,0,0
[java] 2,2,ReadWriteLockSpaceShip,12770186,135590629
[java] 2,2,ReadWriteLockSpaceShip,16938828,119425904
[java] 2,2,ReadWriteLockSpaceShip,16351602,121425618
[java] 2,2,ReadWriteLockSpaceShip,15882779,122591229
[java] 2,2,ReadWriteLockSpaceShip,16226427,121943438
[java] 2,2,ReadWriteLockSpaceShip,0,0
[java] 2,2,ReentrantLockSpaceship,72114385,71593805
[java] 2,2,ReentrantLockSpaceship,72226132,71002311
[java] 2,2,ReentrantLockSpaceship,68107212,68324523
[java] 2,2,ReentrantLockSpaceship,72628190,68687635
[java] 2,2,ReentrantLockSpaceship,69596709,72099193
[java] 2,2,ReentrantLockSpaceship,0,0
[java] 2,2,StampedLockSpaceship,1229950804,30663938
[java] 2,2,StampedLockSpaceship,1336895259,27433190
[java] 2,2,StampedLockSpaceship,1278732578,26088755
[java] 2,2,StampedLockSpaceship,1177282361,37760204
[java] 2,2,StampedLockSpaceship,1217569568,29189369
[java] 2,2,StampedLockSpaceship,0,0
[java] 2,2,StampedLockWithRetriesSpaceship,1268486815,29325786
[java] 2,2,StampedLockWithRetriesSpaceship,1129806723,38062809
[java] 2,2,StampedLockWithRetriesSpaceship,1440698023,22253444
[java] 2,2,StampedLockWithRetriesSpaceship,1251299373,33260923
[java] 2,2,StampedLockWithRetriesSpaceship,1253931497,37202291
[java] 2,2,StampedLockWithRetriesSpaceship,0,0
[java] 2,2,LockFreeSpaceship,182465101,72143621
[java] 2,2,LockFreeSpaceship,182959495,71275961
[java] 2,2,LockFreeSpaceship,178068596,72197487
[java] 2,2,LockFreeSpaceship,183770833,72214833
[java] 2,2,LockFreeSpaceship,181212928,81148987
[java] 2,2,LockFreeSpaceship,0,0
